"","REGION","EGEOLOC","q3_age","SUD_Type","StUD_Year","n","freq"
"166",2,20,"Adolescent","Cocaine",2010,8,0.100933636134242
"167",2,20,"Adolescent","Cocaine",2011,6,0.0757002271006813
"168",2,20,"Adolescent","Cocaine",2012,6,0.0757002271006813
"169",2,20,"Adolescent","Cocaine",2013,8,0.100933636134242
"170",2,20,"Adolescent","Cocaine",2014,9,0.113550340651022
"171",2,20,"Adolescent","Cocaine",2015,4,0.0504668180671209
"172",2,22,"Adolescent","All",2009,9,0.113550340651022
"173",2,22,"Adolescent","All",2010,10,0.126167045167802
"174",2,22,"Adolescent","All",2011,10,0.126167045167802
"175",2,22,"Adolescent","All",2012,9,0.113550340651022
"176",2,22,"Adolescent","All",2013,6,0.0757002271006813
"177",2,22,"Adolescent","All",2014,5,0.0630835225839011
"178",2,22,"Adolescent","All",2015,5,0.0630835225839011
"179",2,22,"Adolescent","Cocaine",2009,8,0.100933636134242
"180",2,22,"Adolescent","Cocaine",2010,5,0.0630835225839011
"181",2,22,"Adolescent","Cocaine",2011,1,0.0126167045167802
"182",2,22,"Adolescent","Cocaine",2012,1,0.0126167045167802
"183",2,22,"Adolescent","Cocaine",2013,2,0.0252334090335604
"184",2,22,"Adolescent","Cocaine",2014,1,0.0126167045167802
"185",2,23,"Adolescent","All",2009,1,0.0126167045167802
"186",2,23,"Adolescent","All",2010,5,0.0630835225839011
"187",2,23,"Adolescent","All",2011,6,0.0757002271006813
"188",2,23,"Adolescent","All",2012,15,0.189250567751703
"189",2,23,"Adolescent","All",2013,12,0.151400454201363
"190",2,23,"Adolescent","All",2014,6,0.0757002271006813
"191",2,23,"Adolescent","All",2015,2,0.0252334090335604
"192",2,23,"Adolescent","Cocaine",2009,2,0.0252334090335604
"193",2,23,"Adolescent","Cocaine",2010,6,0.0757002271006813
"194",2,23,"Adolescent","Cocaine",2011,1,0.0126167045167802
"195",2,23,"Adolescent","Cocaine",2012,2,0.0252334090335604
"196",2,23,"Adolescent","Cocaine",2014,1,0.0126167045167802
"197",2,24,"Adolescent","All",2009,6,0.0757002271006813
"198",2,24,"Adolescent","All",2010,16,0.201867272268483
"199",2,24,"Adolescent","All",2011,19,0.239717385818824
"200",2,24,"Adolescent","All",2012,18,0.227100681302044
"201",2,24,"Adolescent","All",2013,16,0.201867272268483
"202",2,24,"Adolescent","All",2014,15,0.189250567751703
"203",2,24,"Adolescent","All",2015,3,0.0378501135503407
"204",2,24,"Adolescent","Cocaine",2009,2,0.0252334090335604
"205",2,24,"Adolescent","Cocaine",2010,2,0.0252334090335604
"206",2,24,"Adolescent","Cocaine",2011,10,0.126167045167802
"207",2,24,"Adolescent","Cocaine",2012,7,0.0883169316174615
"208",2,24,"Adolescent","Cocaine",2013,2,0.0252334090335604
"209",2,24,"Adolescent","Cocaine",2015,2,0.0252334090335604
"210",2,25,"Adolescent","All",2009,2,0.0252334090335604
"211",2,25,"Adolescent","All",2010,11,0.138783749684582
"212",2,25,"Adolescent","All",2011,11,0.138783749684582
"213",2,25,"Adolescent","All",2012,18,0.227100681302044
"214",2,25,"Adolescent","All",2013,20,0.252334090335604
"215",2,25,"Adolescent","All",2014,15,0.189250567751703
"216",2,25,"Adolescent","All",2015,14,0.176633863234923
"217",2,25,"Adolescent","Cocaine",2009,5,0.0630835225839011
"218",2,25,"Adolescent","Cocaine",2010,11,0.138783749684582
"219",2,25,"Adolescent","Cocaine",2011,8,0.100933636134242
"220",2,25,"Adolescent","Cocaine",2012,5,0.0630835225839011
"221",2,25,"Adolescent","Cocaine",2013,3,0.0378501135503407
"222",2,25,"Adolescent","Cocaine",2014,4,0.0504668180671209
"223",2,25,"Adolescent","Cocaine",2015,3,0.0378501135503407
"224",2,26,"Adolescent","All",2009,3,0.0378501135503407
"225",2,26,"Adolescent","All",2010,4,0.0504668180671209
"226",2,26,"Adolescent","All",2011,2,0.0252334090335604
"227",2,26,"Adolescent","All",2012,5,0.0630835225839011
"228",2,26,"Adolescent","All",2013,3,0.0378501135503407
"229",2,26,"Adolescent","All",2014,3,0.0378501135503407
"230",2,26,"Adolescent","All",2015,6,0.0757002271006813
"231",2,26,"Adolescent","Cocaine",2010,2,0.0252334090335604
"232",2,26,"Adolescent","Cocaine",2012,6,0.0757002271006813
"233",2,26,"Adolescent","Cocaine",2013,2,0.0252334090335604
"234",2,26,"Adolescent","Cocaine",2014,1,0.0126167045167802
"235",2,26,"Adolescent","Cocaine",2015,1,0.0126167045167802
"236",2,27,"Adolescent","All",2010,1,0.0126167045167802
"237",2,27,"Adolescent","All",2011,2,0.0252334090335604
"238",2,27,"Adolescent","All",2012,2,0.0252334090335604
"239",2,27,"Adolescent","All",2013,2,0.0252334090335604
"240",2,27,"Adolescent","All",2014,3,0.0378501135503407
"241",2,27,"Adolescent","Cocaine",2009,1,0.0126167045167802
"242",2,28,"Adolescent","All",2009,3,0.0378501135503407
"243",2,28,"Adolescent","All",2011,1,0.0126167045167802
"244",2,28,"Adolescent","All",2012,3,0.0378501135503407
"245",2,28,"Adolescent","All",2013,1,0.0126167045167802
"246",2,28,"Adolescent","All",2014,3,0.0378501135503407
"247",2,28,"Adolescent","All",2015,2,0.0252334090335604
"248",2,28,"Adolescent","Cocaine",2010,1,0.0126167045167802
"249",2,28,"Adolescent","Cocaine",2011,1,0.0126167045167802
"250",2,28,"Adolescent","Cocaine",2012,1,0.0126167045167802
"251",3,4,"Adolescent","Cocaine",2009,1,0.0126167045167802
"252",3,4,"Adolescent","Cocaine",2010,1,0.0126167045167802
"253",3,6,"Adolescent","All",2011,1,0.0126167045167802
"254",3,6,"Adolescent","All",2013,1,0.0126167045167802
"255",3,6,"Adolescent","Cocaine",2012,1,0.0126167045167802
"256",3,8,"Adolescent","Cocaine",2013,1,0.0126167045167802
"257",3,31,"Adolescent","Cocaine",2009,2,0.0252334090335604
"258",3,32,"Adolescent","All",2010,2,0.0252334090335604
"259",3,32,"Adolescent","All",2011,1,0.0126167045167802
"260",3,32,"Adolescent","All",2012,2,0.0252334090335604
"261",3,32,"Adolescent","All",2013,1,0.0126167045167802
"262",3,32,"Adolescent","All",2014,1,0.0126167045167802
"263",3,32,"Adolescent","Cocaine",2009,3,0.0378501135503407
"264",3,32,"Adolescent","Cocaine",2010,1,0.0126167045167802
"265",3,32,"Adolescent","Cocaine",2011,4,0.0504668180671209
"266",3,32,"Adolescent","Cocaine",2012,2,0.0252334090335604
"267",3,32,"Adolescent","Cocaine",2015,3,0.0378501135503407
"268",3,33,"Adolescent","All",2009,5,0.0630835225839011
"269",3,33,"Adolescent","All",2010,13,0.164017158718143
"270",3,33,"Adolescent","All",2011,11,0.138783749684582
"271",3,33,"Adolescent","All",2012,18,0.227100681302044
"272",3,33,"Adolescent","All",2013,26,0.328034317436286
"273",3,33,"Adolescent","All",2014,25,0.315417612919505
"274",3,33,"Adolescent","All",2015,9,0.113550340651022
"275",3,33,"Adolescent","Cocaine",2009,13,0.164017158718143
"276",3,33,"Adolescent","Cocaine",2010,16,0.201867272268483
"277",3,33,"Adolescent","Cocaine",2011,12,0.151400454201363
"278",3,33,"Adolescent","Cocaine",2012,37,0.466818067120868
"279",3,33,"Adolescent","Cocaine",2013,21,0.264950794852385
"280",3,33,"Adolescent","Cocaine",2014,20,0.252334090335604
"281",3,33,"Adolescent","Cocaine",2015,15,0.189250567751703
"282",3,34,"Adolescent","All",2009,8,0.100933636134242
"283",3,34,"Adolescent","All",2010,16,0.201867272268483
"284",3,34,"Adolescent","All",2011,32,0.403734544536967
"285",3,34,"Adolescent","All",2012,14,0.176633863234923
"286",3,34,"Adolescent","All",2013,20,0.252334090335604
"287",3,34,"Adolescent","All",2014,24,0.302800908402725
"288",3,34,"Adolescent","All",2015,11,0.138783749684582
"289",3,34,"Adolescent","Cocaine",2009,8,0.100933636134242
"290",3,34,"Adolescent","Cocaine",2010,14,0.176633863234923
"291",3,34,"Adolescent","Cocaine",2011,16,0.201867272268483
"292",3,34,"Adolescent","Cocaine",2012,13,0.164017158718143
"293",3,34,"Adolescent","Cocaine",2013,15,0.189250567751703
"294",3,34,"Adolescent","Cocaine",2014,15,0.189250567751703
